time_s,throttle,throttle_delta,brake,speed,accel_x
483.3800,0.6568,-0.0314,0.0000,27.2135,0.3244
483.3900,0.6568,-0.0314,0.0000,27.2103,0.3212
483.4000,0.6568,-0.0314,0.0000,27.2071,0.3185
483.4100,0.6568,-0.0314,0.0000,27.2039,0.3166
483.4200,0.6568,-0.0314,0.0000,27.2008,0.3149
483.4300,0.6568,-0.0314,0.0000,27.1976,0.3128
483.4400,0.6568,-0.0314,0.0000,27.1945,0.3124
483.4500,0.6568,-0.0314,0.0000,27.1914,0.3094
483.4600,0.6568,-0.0314,0.0000,27.1883,0.3120
483.4700,0.6568,-0.0314,0.0000,27.1852,0.3145
483.4800,0.6568,-0.0314,0.0000,27.1820,0.3149
483.4900,0.6568,-0.0314,0.0000,27.1789,0.3151
483.5000,0.6568,-0.0314,0.0000,27.1757,0.3153
483.5100,0.6568,-0.0314,0.0000,27.1726,0.3149
483.5200,0.6568,-0.0314,0.0000,27.1694,0.3149
483.5300,0.6568,-0.0314,0.0000,27.1663,0.3149
483.5400,0.6568,-0.0314,0.0000,27.1631,0.3139
483.5500,0.6568,-0.0314,0.0000,27.1600,0.3126
483.5600,0.6568,-0.0314,0.0000,27.1569,0.3122
483.5700,0.6568,-0.0314,0.0000,27.1538,0.3105
483.5800,0.6568,-0.0314,0.0000,27.1507,0.3101
483.5900,0.6568,-0.0314,0.0000,27.1476,0.3096
483.6000,0.6568,-0.0314,0.0000,27.1445,0.3044
483.6100,0.6568,-0.0314,0.0000,27.1415,0.3000
483.6200,0.6568,-0.0314,0.0000,27.1386,0.2966
483.6300,0.6568,-0.0314,0.0000,27.1356,0.2937
483.6400,0.6568,-0.0314,0.0000,27.1327,0.2911
483.6500,0.6568,-0.0314,0.0000,27.1298,0.2890
483.6600,0.6568,-0.0314,0.0000,27.1269,0.2878
483.6700,0.6568,-0.0314,0.0000,27.1241,0.2859
483.6800,0.6568,-0.0314,0.0000,27.1212,0.2855
483.6900,0.6568,-0.0314,0.0000,27.1184,0.2836
483.7000,0.6568,-0.0314,0.0000,27.1156,0.2832
483.7100,0.6568,-0.0314,0.0000,27.1127,0.2827
483.7200,0.6568,-0.0314,0.0000,27.1099,0.2832
483.7300,0.6568,-0.0314,0.0000,27.1071,0.2842
483.7400,0.6568,-0.0314,0.0000,27.1042,0.2834
483.7500,0.6568,-0.0314,0.0000,27.1014,0.2834
483.7600,0.6568,-0.0314,0.0000,27.0986,0.2832
483.7700,0.6568,-0.0314,0.0000,27.0957,0.2832
483.7800,0.6568,-0.0314,0.0000,27.0929,0.2829
