wall_time_s,ros_time_s,free_heap_bytes,min_ever_free_heap_bytes,uros_stack_free_bytes,ctrl_stack_free_bytes,microros_alloc_count,microros_free_count,microros_realloc_count,microros_calloc_count,microros_used_bytes,microros_total_allocated_bytes,free_heap_bytes_rx_age_ms,min_ever_free_heap_bytes_rx_age_ms,uros_stack_free_bytes_rx_age_ms,ctrl_stack_free_bytes_rx_age_ms,microros_alloc_count_rx_age_ms,microros_free_count_rx_age_ms,microros_realloc_count_rx_age_ms,microros_calloc_count_rx_age_ms,microros_used_bytes_rx_age_ms,microros_total_allocated_bytes_rx_age_ms
184.004896,1769962449.288470,,,,,,,,,,,,,,,,,,,,
185.004896,1769962450.288471,,,,,,,,,,,,,,,,,,,,
186.004860,1769962451.288433,,,,,,,,,,,,,,,,,,,,
187.004903,1769962452.288478,,,,,,,,,,,,,,,,,,,,
188.004865,1769962453.288438,,,,,,,,,,,,,,,,,,,,
189.004848,1769962454.288421,,,,,,,,,,,,,,,,,,,,
190.004847,1769962455.288420,,,,,,,,,,,,,,,,,,,,
191.004844,1769962456.288417,,,,,,,,,,,,,,,,,,,,
192.004861,1769962457.288435,,,,,,,,,,,,,,,,,,,,
193.004914,1769962458.288487,,,,,,,,,,,,,,,,,,,,
194.004851,1769962459.288425,,,,,,,,,,,,,,,,,,,,
195.004816,1769962460.288389,,,,,,,,,,,,,,,,,,,,
196.004844,1769962461.288416,,,,,,,,,,,,,,,,,,,,
197.004887,1769962462.288462,,,,,,,,,,,,,,,,,,,,
198.004938,1769962463.288512,,,,,,,,,,,,,,,,,,,,
199.004863,1769962464.288437,,,,,,,,,,,,,,,,,,,,
200.004903,1769962465.288476,,,,,,,,,,,,,,,,,,,,
201.004884,1769962466.288458,,,,,,,,,,,,,,,,,,,,
202.004833,1769962467.288406,,,,,,,,,,,,,,,,,,,,
203.004856,1769962468.288430,,,,,,,,,,,,,,,,,,,,
204.004850,1769962469.288423,,,,,,,,,,,,,,,,,,,,
205.004812,1769962470.288385,,,,,,,,,,,,,,,,,,,,
206.004857,1769962471.288431,,,,,,,,,,,,,,,,,,,,
207.004837,1769962472.288409,,,,,,,,,,,,,,,,,,,,
208.004943,1769962473.288517,,,,,,,,,,,,,,,,,,,,
209.005061,1769962474.288638,,,,,,,,,,,,,,,,,,,,
210.004852,1769962475.288427,,,,,,,,,,,,,,,,,,,,
211.004830,1769962476.288404,,,,,,,,,,,,,,,,,,,,
212.004841,1769962477.288415,,,,,,,,,,,,,,,,,,,,
213.004932,1769962478.288506,,,,,,,,,,,,,,,,,,,,
214.004829,1769962479.288402,,,,,,,,,,,,,,,,,,,,
215.004845,1769962480.288418,,,,,,,,,,,,,,,,,,,,
216.004824,1769962481.288397,,,,,,,,,,,,,,,,,,,,
217.004820,1769962482.288393,,,,,,,,,,,,,,,,,,,,
218.004815,1769962483.288388,,,,,,,,,,,,,,,,,,,,
219.004844,1769962484.288418,,,,,,,,,,,,,,,,,,,,
220.004828,1769962485.288402,,,,,,,,,,,,,,,,,,,,
221.004845,1769962486.288418,,,,,,,,,,,,,,,,,,,,
222.004851,1769962487.288425,,,,,,,,,,,,,,,,,,,,
223.004839,1769962488.288413,,,,,,,,,,,,,,,,,,,,
224.004841,1769962489.288418,,,,,,,,,,,,,,,,,,,,
225.004976,1769962490.288551,,,,,,,,,,,,,,,,,,,,
226.004852,1769962491.288424,,,,,,,,,,,,,,,,,,,,
227.004863,1769962492.288437,,,,,,,,,,,,,,,,,,,,
228.004903,1769962493.288476,,,,,,,,,,,,,,,,,,,,
229.004849,1769962494.288423,,,,,,,,,,,,,,,,,,,,
230.004845,1769962495.288419,,,,,,,,,,,,,,,,,,,,
231.004823,1769962496.288396,,,,,,,,,,,,,,,,,,,,
232.004824,1769962497.288397,,,,,,,,,,,,,,,,,,,,
233.004841,1769962498.288414,,,,,,,,,,,,,,,,,,,,
234.004843,1769962499.288417,,,,,,,,,,,,,,,,,,,,
235.004870,1769962500.288444,,,,,,,,,,,,,,,,,,,,
236.004849,1769962501.288423,,,,,,,,,,,,,,,,,,,,
237.004921,1769962502.288494,,,,,,,,,,,,,,,,,,,,
238.004817,1769962503.288390,,,,,,,,,,,,,,,,,,,,
239.004847,1769962504.288420,,,,,,,,,,,,,,,,,,,,
240.004977,1769962505.288550,,,,,,,,,,,,,,,,,,,,
241.004831,1769962506.288404,,,,,,,,,,,,,,,,,,,,
242.004826,1769962507.288399,,,,,,,,,,,,,,,,,,,,
243.004848,1769962508.288423,,,,,,,,,,,,,,,,,,,,
244.004901,1769962509.288475,,,,,,,,,,,,,,,,,,,,
245.004874,1769962510.288449,,,,,,,,,,,,,,,,,,,,
246.004845,1769962511.288418,,,,,,,,,,,,,,,,,,,,
247.004851,1769962512.288424,,,,,,,,,,,,,,,,,,,,
248.004834,1769962513.288407,,,,,,,,,,,,,,,,,,,,
249.004838,1769962514.288412,,,,,,,,,,,,,,,,,,,,
250.004839,1769962515.288412,,,,,,,,,,,,,,,,,,,,
251.004844,1769962516.288417,,,,,,,,,,,,,,,,,,,,
252.004824,1769962517.288397,,,,,,,,,,,,,,,,,,,,
253.004833,1769962518.288406,,,,,,,,,,,,,,,,,,,,
254.004866,1769962519.288440,,,,,,,,,,,,,,,,,,,,
255.004831,1769962520.288404,,,,,,,,,,,,,,,,,,,,
256.004825,1769962521.288398,,,,,,,,,,,,,,,,,,,,
257.004833,1769962522.288407,,,,,,,,,,,,,,,,,,,,
258.004863,1769962523.288437,,,,,,,,,,,,,,,,,,,,
259.004864,1769962524.288437,,,,,,,,,,,,,,,,,,,,
260.004889,1769962525.288463,,,,,,,,,,,,,,,,,,,,
261.004857,1769962526.288431,,,,,,,,,,,,,,,,,,,,
262.004822,1769962527.288395,,,,,,,,,,,,,,,,,,,,
263.004936,1769962528.288510,,,,,,,,,,,,,,,,,,,,
264.004815,1769962529.288388,,,,,,,,,,,,,,,,,,,,
265.004837,1769962530.288411,,,,,,,,,,,,,,,,,,,,
266.004895,1769962531.288470,,,,,,,,,,,,,,,,,,,,
267.004854,1769962532.288427,,,,,,,,,,,,,,,,,,,,
268.004827,1769962533.288400,,,,,,,,,,,,,,,,,,,,
269.004841,1769962534.288415,,,,,,,,,,,,,,,,,,,,
270.004852,1769962535.288426,,,,,,,,,,,,,,,,,,,,
271.004853,1769962536.288482,,,,,,,,,,,,,,,,,,,,
272.004835,1769962537.288408,,,,,,,,,,,,,,,,,,,,
273.004837,1769962538.288411,,,,,,,,,,,,,,,,,,,,
274.004827,1769962539.288400,,,,,,,,,,,,,,,,,,,,
275.004868,1769962540.288441,,,,,,,,,,,,,,,,,,,,
276.004826,1769962541.288399,,,,,,,,,,,,,,,,,,,,
