time_s,teleport_event,global_sp_mps,plan_idx,plan_name,leader_speed_mps,leader_in_band,leader_stable_s,emergency_active,throttle_0,brake_0,cmd_age_ms_0,throttle_rx_dt_ms_0,brake_rx_dt_ms_0,cmd_pair_rx_dt_ms_0,speed_0,accel_x_0,local_sp_0,dist_to_prev_0,desired_dist_0,dist_err_0,vel_diff_0,ttc_0,throttle_1,brake_1,cmd_age_ms_1,throttle_rx_dt_ms_1,brake_rx_dt_ms_1,cmd_pair_rx_dt_ms_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,dist_err_1,vel_diff_1,ttc_1,throttle_2,brake_2,cmd_age_ms_2,throttle_rx_dt_ms_2,brake_rx_dt_ms_2,cmd_pair_rx_dt_ms_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,dist_err_2,vel_diff_2,ttc_2,throttle_3,brake_3,cmd_age_ms_3,throttle_rx_dt_ms_3,brake_rx_dt_ms_3,cmd_pair_rx_dt_ms_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,dist_err_3,vel_diff_3,ttc_3
0.2000,0,0.0000,0,start_stop,1.7963,0,0.0000,0,0.0000,0.0350,1.4948,10.2794,10.7624,1.7098,1.7963,-0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.1837,0.0000,8.4391,9.9906,9.9924,0.0142,1.7963,-0.0016,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.1837,0.0000,8.5008,9.9935,9.9941,0.0112,1.7963,-0.0016,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2732,0.0000,8.5046,9.9948,9.9960,0.0113,1.7963,-0.0016,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2100,0,0.0000,0,start_stop,1.6841,0,0.0000,0,0.0000,0.0350,9.8966,10.2794,10.7624,1.7098,1.6841,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.1737,0.0000,7.8277,10.7201,10.7211,0.0153,1.6841,0.0003,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.1737,0.0000,7.8134,10.7345,10.7409,0.0175,1.6841,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2533,0.0000,7.7981,10.7498,10.7568,0.0183,1.6841,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2200,0,0.0000,0,start_stop,1.5270,0,0.0000,0,0.0000,0.0350,1.2402,6.7264,12.1639,6.7133,1.5270,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.1762,0.0000,7.9670,10.0883,10.0838,0.0108,1.5270,0.0003,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.1762,0.0000,7.9751,10.0682,10.0610,0.0103,1.5270,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2558,0.0000,7.3265,10.7109,10.0494,0.6433,1.5270,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2300,0,0.0000,0,start_stop,1.3542,0,0.0000,0,0.0000,0.0350,6.0590,11.3438,11.8343,6.2228,1.3542,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.1892,0.0000,6.0485,11.8514,11.8595,0.0189,1.3542,0.0003,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.1892,0.0000,6.0317,11.8752,11.8824,0.0174,1.3542,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2687,0.0000,6.0123,11.2376,11.8997,0.0189,1.3542,0.0003,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2400,0,0.0000,0,start_stop,1.1819,0,0.0000,0,0.0000,0.0350,6.3423,10.0155,9.7247,6.5136,1.1819,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2071,0.0000,6.3433,9.7172,9.7126,0.0143,1.1819,0.0002,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2071,0.0000,6.3433,9.7045,9.7015,0.0145,1.1819,0.0002,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.2866,0.0000,6.2374,9.7643,9.7856,0.0401,1.1819,0.0002,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2500,0,0.0000,0,start_stop,1.0185,0,0.0000,0,0.0000,0.0350,1.1950,9.1802,7.5089,1.3583,1.0185,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2268,0.0000,7.3503,9.5380,9.5398,0.0161,1.0185,0.0002,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2268,0.0000,7.3536,9.5387,9.5352,0.0110,1.0185,0.0002,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3063,0.0000,7.3099,9.5126,9.7856,9.4725,1.0185,0.0002,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2600,0,0.0000,0,start_stop,0.8682,0,0.0000,0,0.0000,0.0350,1.1458,10.2575,10.2776,1.3784,0.8682,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2466,0.0000,8.0804,9.5006,9.4993,0.0149,0.8682,0.0001,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2466,0.0000,8.1083,9.4957,9.4985,0.0138,0.8682,0.0001,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3260,0.0000,7.4136,9.9676,0.7320,0.2097,0.8682,0.0001,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2700,0,0.0000,0,start_stop,0.7326,0,0.0000,0,0.0000,0.0350,0.9771,10.5714,10.3401,1.1471,0.7326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2655,0.0000,7.6508,10.8161,10.8155,0.0143,0.7326,0.0001,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2655,0.0000,7.6538,10.8152,10.8135,0.0121,0.7326,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3448,0.0000,6.9964,10.2932,10.7483,0.6649,0.7326,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2800,0,0.0000,0,start_stop,0.6119,0,0.0000,0,0.0000,0.0350,1.2041,9.8217,10.0433,1.3687,0.6119,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2830,0.0000,7.8639,9.8304,9.8293,0.0133,0.6119,0.0001,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2830,0.0000,7.8712,9.8282,9.8268,0.0107,0.6119,0.0001,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3623,0.0000,7.3887,9.8250,9.6589,0.4988,0.6119,0.0001,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.2900,0,0.0000,0,start_stop,0.5054,0,0.0000,0,0.0000,0.0350,1.1211,10.2091,10.3836,1.5433,0.5054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.2990,0.0000,8.0790,9.9169,9.9229,0.0193,0.5054,0.0000,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.2990,0.0000,8.0828,9.9349,9.9416,0.0174,0.5054,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3783,0.0000,7.5005,9.9524,10.0532,0.5996,0.5054,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
0.3000,0,0.0000,0,start_stop,0.4121,1,0.0100,0,0.0000,0.0350,9.6239,11.3951,10.3836,9.8518,0.4121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.3134,0.0000,6.6010,11.5206,11.5199,0.0186,0.4121,0.0000,3.2000,15.0000,11.0000,4.0000,-0.0000,inf,0.3134,0.0000,6.6131,11.5174,11.5163,0.0164,0.4121,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf,0.3927,0.0000,6.6242,11.5145,10.9310,0.0161,0.4121,0.0000,3.2000,15.0000,11.0000,4.0000,0.0000,inf
