time_s,throttle_lead,brake_lead,speed_lead,accel_x_lead,local_sp_lead,dist_to_prev_lead,desired_dist_lead,throttle_1,brake_1,speed_1,accel_x_1,local_sp_1,dist_to_prev_1,desired_dist_1,throttle_2,brake_2,speed_2,accel_x_2,local_sp_2,dist_to_prev_2,desired_dist_2,throttle_3,brake_3,speed_3,accel_x_3,local_sp_3,dist_to_prev_3,desired_dist_3,throttle_4,brake_4,speed_4,accel_x_4,local_sp_4,dist_to_prev_4,desired_dist_4
0.3000,0.0000,0.2797,0.2722,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2722,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2722,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2722,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2722,0.0000,-22.5000,6.0000,10.5000
0.3100,0.0000,0.2492,0.2091,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2091,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2091,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2091,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.2091,0.0000,-22.5000,6.0000,10.5000
0.3200,0.0000,0.2229,0.1550,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1550,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1550,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1550,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1550,-0.0000,-22.5000,6.0000,10.5000
0.3300,0.0000,0.2002,0.1089,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1089,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1089,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1089,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.1089,0.0000,-22.5000,6.0000,10.5000
0.3400,0.0000,0.1808,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0697,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0697,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0697,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0697,0.0000,-22.5000,6.0000,10.5000
0.3500,0.0000,0.1642,0.0366,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0366,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0366,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0366,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0366,0.0000,-22.5000,6.0000,10.5000
0.3600,0.0000,0.1501,0.0089,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0089,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0089,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0089,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0089,-0.0000,-22.5000,6.0000,10.5000
0.3700,0.0000,0.1382,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0142,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0142,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0142,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0142,0.0000,-22.5000,6.0000,10.5000
0.3800,0.0000,0.1405,0.0333,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0333,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0333,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0333,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0333,-0.0000,-22.5000,6.0000,10.5000
0.3900,0.0000,0.1489,0.0489,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0489,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0489,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0489,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0489,-0.0000,-22.5000,6.0000,10.5000
0.4000,0.0000,0.1559,0.0614,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0614,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0614,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0614,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0614,0.0000,-22.5000,6.0000,10.5000
0.4100,0.0000,0.1615,0.0714,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0714,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0714,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0714,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0714,0.0000,-22.5000,6.0000,10.5000
0.4200,0.0000,0.1661,0.0791,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0791,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0791,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0791,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0791,0.0000,-22.5000,6.0000,10.5000
0.4300,0.0000,0.1698,0.0848,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0848,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0848,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0848,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0848,-0.0000,-22.5000,6.0000,10.5000
0.4400,0.0000,0.1726,0.0889,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0889,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0889,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0889,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0889,-0.0000,-22.5000,6.0000,10.5000
0.4500,0.0000,0.1748,0.0916,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0916,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0916,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0916,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0916,-0.0000,-22.5000,6.0000,10.5000
0.4600,0.0000,0.1764,0.0932,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0932,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0932,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0932,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0932,0.0000,-22.5000,6.0000,10.5000
0.4700,0.0000,0.1774,0.0937,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0937,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0937,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0937,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0937,0.0000,-22.5000,6.0000,10.5000
0.4800,0.0000,0.1781,0.0934,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0934,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0934,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0934,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0934,-0.0000,-22.5000,6.0000,10.5000
0.4900,0.0000,0.1784,0.0924,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0924,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0924,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0924,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0924,0.0000,-22.5000,6.0000,10.5000
0.5000,0.0000,0.1783,0.0909,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0909,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0909,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0909,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0909,-0.0000,-22.5000,6.0000,10.5000
0.5100,0.0000,0.1781,0.0888,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0888,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0888,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0888,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0888,0.0000,-22.5000,6.0000,10.5000
0.5200,0.0000,0.1776,0.0865,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0865,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0865,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0865,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0865,0.0000,-22.5000,6.0000,10.5000
0.5300,0.0000,0.1769,0.0838,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0838,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0838,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0838,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0838,-0.0000,-22.5000,6.0000,10.5000
0.5400,0.0000,0.1762,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0810,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0810,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0810,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0810,0.0000,-22.5000,6.0000,10.5000
0.5500,0.0000,0.1753,0.0779,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0779,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0779,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0779,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0779,-0.0000,-22.5000,6.0000,10.5000
0.5600,0.0000,0.1743,0.0748,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0748,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0748,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0748,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0748,-0.0000,-22.5000,6.0000,10.5000
0.5700,0.0000,0.1733,0.0716,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0716,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0716,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0716,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0716,0.0000,-22.5000,6.0000,10.5000
0.5800,0.0000,0.1722,0.0684,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0684,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0684,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0684,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0684,0.0000,-22.5000,6.0000,10.5000
0.5900,0.0000,0.1712,0.0652,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0652,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0652,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0652,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0652,0.0000,-22.5000,6.0000,10.5000
0.6000,0.0000,0.1701,0.0620,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0620,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0620,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0620,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0620,0.0000,-22.5000,6.0000,10.5000
0.6100,0.0000,0.1690,0.0589,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0589,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0589,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0589,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0589,-0.0000,-22.5000,6.0000,10.5000
0.6200,0.0000,0.1679,0.0559,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0559,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0559,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0559,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0559,-0.0000,-22.5000,6.0000,10.5000
0.6300,0.0000,0.1668,0.0529,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0529,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0529,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0529,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0529,0.0000,-22.5000,6.0000,10.5000
0.6400,0.0000,0.1657,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0500,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0500,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0500,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0500,0.0000,-22.5000,6.0000,10.5000
0.6500,0.0000,0.1647,0.0472,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0472,0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0472,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0472,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0472,0.0000,-22.5000,6.0000,10.5000
0.6600,0.0000,0.1637,0.0445,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0445,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0445,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0445,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0445,-0.0000,-22.5000,6.0000,10.5000
0.6700,0.0000,0.1627,0.0419,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0419,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0419,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0419,-0.0000,-22.5000,6.0000,10.5000,0.0000,1.0000,0.0419,-0.0000,-22.5000,6.0000,10.5000
