time_s,ego_throttle,ego_setpoint_speed,ego_brake,ego_speed,ego_accel_abs,lead_throttle,lead_setpoint_speed,lead_brake,lead_speed,lead_accel_abs,lead_dist
0.7400,0.0251,0.0127,0.0000,0.0032,0.0254,0.0000,0.0000,0.0323,0.0127,0.0860,19.9951
0.7500,0.0249,0.0119,0.0000,0.0030,0.0258,0.0000,0.0000,0.0322,0.0119,0.0835,19.9951
0.7600,0.0248,0.0111,0.0000,0.0027,0.0240,0.0000,0.0000,0.0320,0.0111,0.0774,19.9951
0.7700,0.0247,0.0103,0.0000,0.0025,0.0200,0.0000,0.0000,0.0318,0.0103,0.0759,19.9951
0.7800,0.0252,0.0096,0.0000,0.0000,0.2543,0.0000,0.0000,0.0317,0.0096,0.0702,19.9951
0.7900,0.0249,0.0090,0.0000,0.0005,0.0523,0.0000,0.0000,0.0315,0.0090,0.0655,19.9951
0.8000,0.0247,0.0084,0.0000,0.0007,0.0163,0.0000,0.0000,0.0314,0.0084,0.0606,19.9951
0.8100,0.0245,0.0078,0.0000,0.0008,0.0101,0.0000,0.0000,0.0312,0.0078,0.0598,19.9951
0.8200,0.0243,0.0072,0.0000,0.0009,0.0087,0.0000,0.0000,0.0311,0.0072,0.0541,19.9951
0.8300,0.0242,0.0067,0.0000,0.0009,0.0072,0.0000,0.0000,0.0310,0.0067,0.0515,19.9951
0.8400,0.0241,0.0063,0.0000,0.0010,0.0059,0.0000,0.0000,0.0309,0.0063,0.0442,19.9951
0.8500,0.0239,0.0058,0.0000,0.0010,0.0024,0.0000,0.0000,0.0308,0.0058,0.0449,19.9951
0.8600,0.0238,0.0054,0.0000,0.0010,0.0003,0.0000,0.0000,0.0307,0.0054,0.0414,19.9951
0.8700,0.0237,0.0050,0.0000,0.0010,0.0009,0.0000,0.0000,0.0306,0.0050,0.0392,19.9951
0.8800,0.0236,0.0047,0.0000,0.0011,0.0022,0.0000,0.0000,0.0306,0.0047,0.0348,19.9951
0.8900,0.0236,0.0043,0.0000,0.0010,0.0025,0.0000,0.0000,0.0305,0.0043,0.0333,19.9951
0.9000,0.0235,0.0040,0.0000,0.0010,0.0011,0.0000,0.0000,0.0304,0.0040,0.0316,19.9951
0.9100,0.0234,0.0037,0.0000,0.0010,0.0007,0.0000,0.0000,0.0304,0.0037,0.0289,19.9951
0.9200,0.0233,0.0035,0.0000,0.0010,0.0018,0.0000,0.0000,0.0303,0.0035,0.0269,19.9951
0.9300,0.0233,0.0032,0.0000,0.0010,0.0037,0.0000,0.0000,0.0303,0.0032,0.0278,19.9951
0.9400,0.0232,0.0030,0.0000,0.0009,0.0043,0.0000,0.0000,0.0302,0.0030,0.0216,19.9951
0.9500,0.0232,0.0028,0.0000,0.0009,0.0035,0.0000,0.0000,0.0302,0.0028,0.0190,19.9951
0.9600,0.0231,0.0025,0.0000,0.0008,0.0041,0.0000,0.0000,0.0301,0.0025,0.0243,19.9951
